Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
CHS_login,Chrome 121.0.0.0,,,08-02-2024 05:04:43,08-02-2024 05:04:54,11.094s,PASSED
,,,,,,,
Test Cases/CURA/Login,Chrome 121.0.0.0,,,08-02-2024 05:04:43,08-02-2024 05:04:54,10.841s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,08-02-2024 05:04:44,08-02-2024 05:04:46,2.544s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 121.0.0.0,,,08-02-2024 05:04:46,08-02-2024 05:04:49,2.781s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/amenu-toggle""))",Chrome 121.0.0.0,,,08-02-2024 05:04:49,08-02-2024 05:04:49,0.461s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Login""))",Chrome 121.0.0.0,,,08-02-2024 05:04:49,08-02-2024 05:04:50,0.862s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 121.0.0.0,,,08-02-2024 05:04:50,08-02-2024 05:04:51,0.921s,PASSED
"setText(findTestObject(""Page_CURA Healthcare Service/input_Password_password""), ""ThisIsNotAPassword"")",Chrome 121.0.0.0,,,08-02-2024 05:04:51,08-02-2024 05:04:52,0.776s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Login""))",Chrome 121.0.0.0,,,08-02-2024 05:04:52,08-02-2024 05:04:54,1.545s,PASSED
"verifyElementPresent(findTestObject(""Page_CURA Healthcare Service/h2_Make Appointment""), 0)",Chrome 121.0.0.0,,,08-02-2024 05:04:54,08-02-2024 05:04:54,0.429s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,08-02-2024 05:04:54,08-02-2024 05:04:54,0.235s,PASSED
